ram_generation,brand,capacity_gb,bus_speed_mhz,unit_type,mpn,is_bulk_server,product_id
DDR4,Other,,2666.0,Dual Kit,Unknown,0,81
DDR4,Corsair,16.0,2666.0,Single,CMK32GX4M2A2666C16,0,82
DDR4,Other,8.0,2666.0,Bulk,8GB RAM,0,83
DDR4,SK Hynix,8.0,2400.0,Bulk,Unknown,0,84
DDR4,Corsair,8.0,3000.0,Dual Kit,CMK8GX4M2B3000C15,0,85
DDR4,SK Hynix,16.0,2666.0,Dual Kit,Unknown,0,86
DDR4,Kingston,16.0,2133.0,Bulk,Unknown,0,87
DDR4,Kingston,8.0,2133.0,Dual Kit,Unknown,0,88
DDR4,Corsair,16.0,3200.0,Dual Kit,CMR16GX4M2C3200C16,0,89
DDR4,XPG,8.0,3000.0,Single,Unknown,0,90
DDR5,G.Skill,32.0,6000.0,Dual Kit,F5-6000J3636F16GX2-FX5,0,91
DDR4,SK Hynix,32.0,3200.0,Single,HMAA4GS6AJR8N-XN,0,92
DDR4,Crucial,64.0,3200.0,Dual Kit,CP32G4DFRA32A.M16FF,0,93
DDR4,Team Group,16.0,3000.0,Dual Kit,TLZGD416G3200HC16CDC01,0,94
DDR4,SK Hynix,8.0,2400.0,Single,"HMA81GU6AFR8N-UH, HMA81GU6AFR8NUH",0,95
DDR4,Kingston,64.0,2666.0,Single,KSM26RD4/64HCR,0,96
DDR4,Unbranded,8.0,2133.0,Single,CM10246417000SO,0,97
DDR4,Micron,16.0,2400.0,Single,Unknown,0,98
DDR4,Micron,16.0,3200.0,Dual Kit,"MTA8ATF1G64HZ-3G2J1, MTA8ATF1G64HZ3G2J1",0,99
DDR4,Kingston,8.0,2400.0,Single,KM0VW4,0,100
DDR4,Major Brand,4.0,2400.0,Single,4 GB PC4-19200S,0,101
DDR4,Samsung,8.0,2400.0,Single,M378A1K43CB2-CRC,0,102
DDR4,Samsung,32.0,2133.0,Single,"M386A4G40DM0-CPB, M386A4G40DM0",1,103
DDR4,Samsung,8.0,3200.0,Single,Unknown,0,104
DDR4,Other,32.0,3200.0,Single,Unknown,0,105
DDR4,G.Skill,16.0,3200.0,Dual Kit,Unknown,0,106
DDR4,VisionTek,16.0,2666.0,Single,"901177, 401743",0,107
DDR4,GeIL,16.0,3000.0,Dual Kit,GPR48GB3000C16AS,0,108
DDR4,SK Hynix,4.0,2400.0,Single,Unknown,0,109
DDR4,Ramaxel,32.0,3200.0,Single,PC43200AASE111,0,110
DDR4,G.Skill,16.0,3200.0,Dual Kit,F43200C16D16GVKB,0,111
DDR4,G.Skill,32.0,3200.0,Single,"F4-3600C18Q-128GVK, F43200C16D32GVK",0,112
DDR4,SK Hynix,32.0,2666.0,Single,HMAA4GS6AJR8N-VK,0,113
DDR4,Other,32.0,3200.0,Single,HMAA4GU6CJR8N-XN,0,114
DDR4,Other,16.0,3200.0,Single,Does not apply,0,115
DDR4,Other,16.0,2400.0,Single,"BLS16G4D240FSB, BLS16G4D240FSB.16FD, 372423",0,116
DDR4,Other,8.0,2666.0,Single,NMUD480E84-2666EA00,0,117
DDR4,Crucial,8.0,2400.0,Single,CT8G4SFS824A.M8FE,0,118
DDR4,Samsung,16.0,2400.0,Bulk,"[""M393A2G40DB1-CRC"", ""M393A2G40DB0-CRC"", ""M393A2G40EB1-CRC""]",1,119
DDR5,Team Group,16.0,5200.0,Single,FF4D516G5200HC40CBK,0,120
DDR4,Major Brand,8.0,2400.0,Single,Does Not Apply,0,121
DDR4,Unbranded,16.0,3200.0,Bulk,Unknown,0,122
DDR4,Samsung,16.0,3200.0,Dual Kit,M471A1G44AB0-CWE,0,123
DDR4,SK Hynix,4.0,2400.0,Bulk,HMA851U6AFR6N-UH,0,124
DDR4,Intel,256.0,2666.0,Bulk,NMA1XXD256GPS,1,125
DDR4,Other,16.0,2133.0,Dual Kit,Unknown,0,126
DDR4,Other,48.0,2666.0,Single,Unknown,0,127
DDR4,Apple,32.0,2933.0,Dual Kit,MX1H2G/A,0,128
DDR4,Micron,16.0,2666.0,Single,MTA8ATF2G64HZ-3G2E2,0,129
DDR4,Kingston,32.0,2666.0,Single,Unknown,0,130
DDR4,Micron,32.0,3200.0,Single,MTA36ASF4G72PZ-3G2,1,131
DDR4,Kingston,16.0,3200.0,Single,KDK8NX-MIE,0,132
DDR4,Other,64.0,2666.0,Single,UCS-ML-X64G4RS-H,1,133
DDR4,Crucial,4.0,2666.0,Single,CT4G4DFS8213,0,134
DDR4,Corsair,16.0,3200.0,Dual Kit,Unknown,0,135
DDR4,Dell,16.0,3200.0,Single,"SNPWTHG4C/16G, AA937596, WTHG4, 0WTHG4",0,136
DDR4,Intel,128.0,3200.0,Single,Optane 200 PMEM,1,137
DDR4,Samsung,8.0,3200.0,Single,M471A1G44BB0-CWE,0,138
DDR4,Crucial,8.0,3600.0,Single,Unknown,0,139
DDR4,Other,8.0,2400.0,Single,BLS2K8G4D32AESBK,0,140
DDR4,Samsung,8.0,2400.0,Single,"M471A1K43BB1, M471A1K43CB1",0,141
DDR4,SK Hynix,16.0,2133.0,Single,Unknown,0,142
DDR4,Micron,8.0,3200.0,Single,MTA9ASF1G72PZ,1,143
DDR4,Samsung,8.0,3200.0,Single,M471A5244CB0CWE,0,144
DDR4,Apple,96.0,2933.0,Bulk,MX1H2G/A,0,145
DDR4,GeIL,16.0,3325.0,Dual Kit,GEILD48GB2666C18ADC,0,146
DDR4,SK Hynix,8.0,2662.0,Single,HMA81GU6JJR8N,0,147
DDR4,Crucial,16.0,2133.0,Dual Kit,CT8G4DFD213.C16FBFD2,0,148
DDR4,Other,8.0,2666.0,Bulk,NN4-2400T-RZZZ-11,0,149
DDR4,Corsair,32.0,3600.0,Dual Kit,CMK32GX4M2D3600C18,0,150
DDR4,Samsung,8.0,3200.0,Single,M471A1G44AB0-CWE,0,151
DDR4,Crucial,8.0,2400.0,Single,CT8G4DFD824AC16FBD2,0,152
DDR4,OWC,16.0,2666.0,Single,Unknown,0,153
DDR4,Samsung,16.0,2666.0,Single,Unknown,0,154
DDR4,Samsung,8.0,2400.0,Single,MEMORY-BIN,0,155
DDR4,Micron,8.0,2666.0,Single,MTA9ASF1G72PZ-2G6,1,156
DDR4,Kingston,8.0,2400.0,Single,Unknown,1,157
DDR4,Micron,8.0,2133.0,Single,MTA16ATF1G64HZ-2G1B1,0,158
DDR4,ADATA,16.0,2666.0,Single,Unknown,0,159
DDR4,Other,16.0,2666.0,Bulk,8GB RAM,0,160
DDR4,Kingston,16.0,2666.0,Dual Kit,Unknown,0,161
DDR4,Other,16.0,3200.0,Single,Unknown,0,162
DDR4,Kingston,8.0,2400.0,Single,KVR24S17S8/8,0,163
DDR4,Other,32.0,2400.0,Single,M393A4K40CB1-CRC,1,164
DDR4,Kingston,8.0,3200.0,Single,Unknown,0,165
DDR4,Micron,8.0,2400.0,Single,MTA8ATF1G64AZ-2G3H1-DESKTOP MEMORY,0,166
DDR4,Kingston,16.0,3000.0,Single,HX430C15FB/16-OP,0,167
DDR4,Micron,8.0,2666.0,Single,MTA8ATF1G64AZ-2G6H1,0,168
DDR4,Kingston,16.0,2666.0,Single,"HP32D4S2S8ME - 16, HP32D4S2S8ME16, HP32D4S2S8ME",0,169
DDR4,Crucial,8.0,2666.0,Single,Unknown,0,170
DDR4,Other,16.0,3200.0,Single,MD4U1630190JDA B,0,171
DDR4,G.Skill,16.0,3200.0,Dual Kit,F4-3200C16D-16GVKB,0,172
DDR4,Other,4.0,2666.0,Single,Unknown,0,173
DDR4,Samsung,24.0,2666.0,Bulk,PC42666VSA111,0,174
DDR4,Kingston,8.0,2400.0,Single,MEMORY-BIN,0,175
DDR4,Corsair,16.0,3200.0,Bulk,Does Not Apply,0,176
DDR4,Micron,8.0,2400.0,Single,MTA9ASF1G72AZ-2G3,1,177
DDR4,SK Hynix,8.0,2666.0,Single,HMA41GU6AFR8N-TF,0,178
DDR4,Other,128.0,2125.0,Bulk,A7945725,1,179
DDR4,Kingston,8.0,2666.0,Single,"HP26D4S9S8MD-8, 9995624-E47.A00G",0,180
DDR4,Kingston,16.0,2666.0,Single,KV0M5R-MIE,0,181
DDR4,G.Skill,16.0,2400.0,Dual Kit,Unknown,0,182
DDR4,A-Tech,16.0,2400.0,Single,Unknown,1,183
DDR4,SK Hynix,4.0,2125.0,Single,HMA451U6AFR8N-TF,0,184
DDR4,Corsair,16.0,3600.0,Dual Kit,Unknown,0,185
DDR4,Crucial,8.0,2666.0,Single,CT8G4DFRA266,0,186
DDR4,Major Brand,16.0,2400.0,Bulk,16 GB PC4-19200S,0,187
DDR4,SK Hynix,16.0,2666.0,Single,Unknown,1,188
DDR4,Samsung,32.0,2666.0,Bulk,Unknown,1,189
DDR4,Other,16.0,3466.0,Single,K2M26,0,190
DDR4,Other,8.0,2666.0,Bulk,Unknown,0,191
DDR4,Samsung,8.0,2400.0,Single,854913001,1,192
DDR4,OWC,32.0,3200.0,Dual Kit,Unknown,1,193
DDR4,Crucial,8.0,3200.0,Single,Does not apply,1,194
DDR4,Kingston,8.0,2666.0,Single,Unknown,0,195
DDR4,A-Tech,32.0,2666.0,Dual Kit,AT16G2D4D2666ND8N12V,0,196
DDR4,SK Hynix,8.0,3200.0,Dual Kit,HMA851S6CJR6N-XN,0,197
DDR4,Major Brand,8.0,2400.0,Single,8 GB PC4-19200E,1,198
DDR4,Samsung,8.0,2666.0,Single,"933276-001, M378A1K43CB2CTD",0,199
DDR4,SK Hynix,16.0,2666.0,Single,HMA82GU7CJR8NVK,1,200
DDR4,Kingston,4.0,2400.0,Single,KCP424SS6/4,0,201
DDR4,Major Brand,8.0,2133.0,Single,Does Not Apply,0,202
DDR4,Kingston,8.0,2400.0,Single,854913001,0,203
DDR4,Dell,32.0,2666.0,Single,Unknown,0,204
DDR4,SK Hynix,4.0,2666.0,Single,HMA851U6CJR6N-VK,0,205
DDR4,Samsung,32.0,2666.0,Single,M471A4G43MB1-CTD,0,206
DDR4,Samsung,32.0,2133.0,Single,"M393A4K40BB0CPB, M393A4K40BB0-CPB",0,207
DDR4,Micron,8.0,2666.0,Single,933276001,0,208
DDR4,Axiom,8.0,2133.0,Single,T0H90AAAX,0,209
DDR4,Other,16.0,2666.0,Single,SPORT 2666 MHZ DDR4 DRAM DESKTOP GAMING MEMORY SINGLE 16GB..,0,210
DDR4,Transcend,8.0,2400.0,Single,Unknown,1,211
DDR4,Samsung,16.0,3200.0,Single,Unknown,0,212
DDR4,Kingston,8.0,2666.0,Single,KCP426SS6/8,0,213
DDR4,Unbranded,8.0,2666.0,Single,Unknown,0,214
DDR4,Patriot,,4400.0,Dual Kit,Unknown,0,215
DDR4,Samsung,256.0,2666.0,Bulk,M393A4K40CB2CTD7Y,1,216
DDR4,Major Brand,4.0,3200.0,Single,4 GB PC4-25600U,0,217
DDR4,OWC,8.0,2666.0,Single,Unknown,0,218
DDR4,A-Tech,32.0,2666.0,Single,KVR24R17D4/32I,1,219
DDR4,Major Brand,8.0,2666.0,Bulk,8 GB PC4-21333S,0,220
DDR4,Crucial,8.0,3200.0,Single,CT8G4SFRA32A,0,221
DDR4,Samsung,16.0,2666.0,Single,M391A2K43BB1-CTD,0,222
DDR4,Major Brand,8.0,2125.0,Single,Does Not Apply,0,223
DDR4,Lenovo,16.0,2666.0,Bulk,Unknown,0,224
DDR4,Apple,32.0,2666.0,Dual Kit,MUQP2G/A,0,225
DDR4,Micron,8.0,2133.0,Single,MTA16ATF1G64HZ-2G1A2,0,226
DDR4,OWC,8.0,2666.0,Single,Unknown,1,227
DDR4,Samsung,16.0,2666.0,Bulk,Unknown,0,228
DDR4,A-Tech,128.0,3200.0,Single,HMABAGR7A2R4N-XS,1,229
DDR4,SK Hynix,16.0,2400.0,Dual Kit,Unknown,0,230
DDR4,Micron,16.0,3200.0,Single,Unknown,0,231
DDR4,Transcend,8.0,2133.0,Dual Kit,TS512MSH64V1H,1,232
DDR5,Apacer,16.0,5200.0,Single,AH5U16G52C5229BAA,0,233
DDR4,Samsung,16.0,3200.0,Single,"M471A2G43BB2CWE, M471A2G43BB2-CWE",0,234
DDR4,Samsung,8.0,2400.0,Single,"M378A1K43CB2-CRC, 854913-001",0,235
DDR4,Micron,8.0,2666.0,Single,MTA8ATF1G64AZ-2G6E1,0,236
DDR4,Major Brand,8.0,2666.0,Single,Does Not Apply,0,237
DDR4,OWC,16.0,2666.0,Single,Unknown,1,238
DDR4,Kingston,16.0,2666.0,Single,Unknown,0,239
DDR4,Crucial,16.0,3200.0,Dual Kit,Does not apply,0,240
DDR4,Unbranded,16.0,3200.0,Single,Unknown,0,241
DDR4,Kingston,8.0,2400.0,Single,KSM24RS8/8HDI,1,242
DDR4,Kingston,16.0,3200.0,Single,"KVR32N22S8/16, KVR32N22S816",1,243
DDR4,HP,4.0,2133.0,Single,820569-001,0,244
DDR4,Other,16.0,2666.0,Bulk,Does not apply,0,245
DDR4,Kingston,16.0,3200.0,Dual Kit,XW21KG-MIE-NX,0,246
DDR4,SK Hynix,16.0,2666.0,Bulk,HMA82GS6CJR8N-VK,0,247
DDR4,Samsung,16.0,2666.0,Single,Unknown,1,248
DDR4,Samsung,8.0,2666.0,Single,M378A1K43CB2-CTD,0,249
DDR4,Corsair,8.0,3000.0,Single,8 GB PC4-24000,0,250
DDR5,Samsung,8.0,5600.0,Single,M425R1GB4BB0-CWM0D,0,251
DDR4,Samsung,16.0,2400.0,Single,Unknown,0,252
DDR4,Micron,8.0,2666.0,Single,PC4-2666V-RD1-12,1,253
DDR4,SK Hynix,4.0,2666.0,Bulk,HMA851S6CJR6N-VK,0,254
DDR4,Crucial,16.0,2400.0,Single,CT16G4DFD824A.M16FB,0,255
DDR4,G.Skill,32.0,3600.0,Bulk,F4-3600C17Q-32GTZR RAM,0,256
DDR4,Samsung,64.0,3200.0,Dual Kit,M471A4G43AB1-CWE,0,257
DDR4,SK Hynix,8.0,2400.0,Single,Unknown,0,258
DDR4,Major Brand,16.0,3200.0,Single,Unknown,0,259
DDR4,SK Hynix,8.0,2400.0,Single,HMA81GU6AFR8N-UH,0,260
DDR4,Other,8.0,3200.0,Single,BL8G32C16U4B.8FE,0,261
DDR4,Other,8.0,3200.0,Single,MTA8ATF1G64HZ-3G2J1,0,262
DDR4,Major Brand,16.0,2666.0,Single,Does Not Apply,0,263
DDR4,Samsung,16.0,2133.0,Single,M471A2K43BB1-CPB,0,264
DDR4,Kingston,8.0,2666.0,Single,9995702-007.A00G,0,265
DDR4,Crucial,8.0,3200.0,Single,Unknown,0,266
DDR4,Micron,32.0,2666.0,Single,MTA36ASF4G72LZ-2G6D1,1,267
DDR4,A-Tech,8.0,2400.0,Single,EB57-A4521,0,268
DDR4,MemoryBank,16.0,2400.0,Single,Unknown,0,269
DDR4,SK Hynix,8.0,2666.0,Single,Unknown,0,270
DDR4,Intel,128.0,3200.0,Single,Unknown,1,271
DDR4,Other,4.0,2666.0,Single,AND19S4G26S,1,272
DDR4,Samsung,4.0,2666.0,Single,M471A5244CB0CTD,0,273
DDR4,SK Hynix,8.0,3200.0,Single,Unknown,0,274
DDR5,Crucial,16.0,5600.0,Single,CT16G56C46S5,0,275
DDR4,HP,32.0,2666.0,Single,"P00924-B21, P18450-B21, P06189-001, P03052-091",1,276
DDR4,SK Hynix,16.0,3200.0,Single,HMA82GS6DJR8N-XN,0,277
DDR4,Arch Memory,16.0,3200.0,Single,Unknown,1,278
DDR4,Samsung,32.0,2400.0,Single,"M386A4G40DM1-CRC, M386A4G40EM2-CRC",1,279
DDR4,Micron,16.0,2666.0,Single,CT16G4SFRA32A.C16FP,0,280
DDR4,Micron,16.0,2666.0,Single,Unknown,0,281
DDR4,Major Brand,8.0,3200.0,Single,Unknown,0,282
DDR4,Samsung,16.0,2400.0,Single,M471A2K43BB1CRC,0,283
DDR4,SK Hynix,64.0,2666.0,Single,hmaa8gl7amr4n,1,284
DDR4,G.Skill,8.0,2400.0,Single,F4-2400C15S-8GRK,0,285
DDR4,Kingston,8.0,2666.0,Single,KCP421SS8/8,1,286
DDR4,Samsung,8.0,2133.0,Single,M378A1K43BB1,0,287
DDR4,Samsung,8.0,2133.0,Single,Unknown,0,288
DDR4,Other,16.0,3200.0,Single,"KCP432NS8/16-MB, KCP432NS8/16",0,289
DDR4,Micron,8.0,2400.0,Dual Kit,BLS4G4D240FSB.8FBD2,0,290
DDR4,Other,8.0,2666.0,Single,MTA8ATF1G64HZ,0,291
DDR4,Major Brand,8.0,2662.0,Single,Does Not Apply,0,292
DDR4,A-Tech,16.0,2133.0,Single,"752369-EF1-ATC, 752369-EF1",1,293
DDR4,OWC,32.0,2666.0,Dual Kit,Unknown,0,294
DDR4,Crucial,16.0,2666.0,Single,Unknown,0,295
DDR4,OWC,512.0,3200.0,Bulk,Unknown,1,296
DDR4,SK Hynix,32.0,3200.0,Single,HMAA4GU6AJR8N-XN,0,297
DDR4,A-Tech,8.0,2400.0,Single,AT8G1D4D2400ND8N12V,1,298
DDR4,Samsung,16.0,2133.0,Single,"M378A1K43BB1-CPB, M378A1K43BB1CPB",0,299
DDR5,GeIL,16.0,5200.0,Single,GAVSG532GB5200C38BD,1,300
DDR4,Micron,32.0,2133.0,Dual Kit,MTA16ATF2G64HZ-2G1B1,0,301
DDR4,Intel,128.0,2666.0,Single,NMB1XXD128GPS,0,302
DDR4,Micron,8.0,2400.0,Dual Kit,MTA4ATF51264AZ-2G3E1,0,303
DDR4,Samsung,32.0,2933.0,Bulk,"[""M393A4K40BB1-CRC"", ""M393A4K40CB1-CRC""]",1,304
DDR4,A-Tech,8.0,3200.0,Single,EB60-A21,0,305
DDR4,Major Brand,4.0,2125.0,Single,Does Not Apply,0,306
DDR4,Samsung,32.0,2133.0,Dual Kit,Unknown,0,307
DDR4,Major Brand,16.0,2666.0,Single,D4ECSO-2666-16G,1,308
DDR4,Micron,8.0,2133.0,Single,MTA16ATF2G64AZ-2G6A1,0,309
DDR5,Team Group,32.0,4800.0,Single,TED532G4800C40DC01,0,310
DDR4,Crucial,16.0,3200.0,Single,CT16G4SFD832A,0,311
DDR4,Other,16.0,2400.0,Single,M471A2K43BB1-CRC,0,312
DDR4,G.Skill,64.0,2400.0,Bulk,Unknown,0,313
DDR4,Corsair,64.0,3200.0,Bulk,Unknown,0,314
DDR4,Micron,8.0,2666.0,Single,MTA8ATF1G64HZ-2G6E1,0,315
DDR4,SK Hynix,8.0,2133.0,Dual Kit,Unknown,0,316
DDR4,Other,8.0,2666.0,Single,KRVFX,0,317
DDR4,Corsair,32.0,3600.0,Dual Kit,CMW32GX4M2D3600C18,0,318
DDR4,Samsung,8.0,2400.0,Single,M471A1K43BB1-CRC,0,319
DDR4,ADATA,8.0,2666.0,Single,AO1P26KC8T1-BXPS,0,320
DDR4,Samsung,16.0,3200.0,Bulk,Unknown,0,321
DDR4,SK Hynix,16.0,2400.0,Single,HMA82GU6AFR8NUH,0,322
DDR4,SK Hynix,16.0,2125.0,Dual Kit,Unknown,0,323
DDR4,SK Hynix,16.0,3200.0,Single,HMAA2GU6CJR8N-XN,0,324
DDR4,Micron,16.0,2666.0,Single,MTA16ATF2G64HZ-2G3E1,1,325
DDR4,A-Tech,8.0,2666.0,Single,"Y7N41, Y7N41-ATC",0,326
DDR4,Apple,16.0,2666.0,Dual Kit,MUQN2G/A,0,327
DDR4,Micron,32.0,2666.0,Single,Unknown,1,328
DDR4,A-Tech,16.0,2925.0,Single,AT16G1D4D2933NNRN12V,1,329
DDR4,A-Tech,8.0,2925.0,Single,AT8G1D4D2933NNRN12V,1,330
DDR4,Kingston,16.0,3200.0,Single,HP32D4U8D8HC-16XG,0,331
